Fri Aug 04 14:17:19 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 10:58:05 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:01:27 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:03:05 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:04:18 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:06:12 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:08:33 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:21:07 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:21:50 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:38:07 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:47:05 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:47:47 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'José','López Sánchez','Luis media','666111222');
Sat Aug 05 11:49:09 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'u','u','u','u');
Sat Aug 05 11:49:45 CEST 2023 +| Miguel +| INSERT INTO Clientes VALUES(null,'q','q','q','q');
Sat Aug 05 11:50:41 CEST 2023 +| Miguel +| DELETE FROM ClienteS 1
Sat Aug 05 11:57:39 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 11:58:50 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:00:00 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:00:29 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '2023/09/03')
Sat Aug 05 12:00:29 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sat Aug 05 12:08:28 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:09:04 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '2023/08/10')
Sat Aug 05 12:09:04 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sat Aug 05 12:13:23 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:15:05 CEST 2023 +| [Login de 'Miguel'] +| SELECT * FROM usuarios WHERE nombreUsuario = 'Miguel' AND claveUsuario = SHA2('Miguel', 256);
Sat Aug 05 12:16:52 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '0002/11/30')
Sat Aug 05 12:16:52 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
Sat Aug 05 12:24:50 CEST 2023 +| Miguel +| INSERT INTO pedidos (idClienteFK, idServicioFK, fechaPreparacionPedidos) VALUES (2, 1, '2023/08/05')
Sat Aug 05 12:24:50 CEST 2023 +| Miguel +| INSER INTO PEDIDOS
